2026-04-15 06:21:37 | WARNING  | analyzers.institutional_flow        | institutional_flow.py:1058 | Timeout: https://publicreporting.cftc.gov/api/odata/v1/CorpActions?$filter=Market_and_Exchange_Names eq 'BITCOIN - CHICAGO MERCANTILE EXCHANGE'&$orderby=Report_Date_as_YYYY_MM_DD desc&$top=1
2026-04-15 08:26:32 | WARNING  | data.api_client                     | api_client.py:384 | Network error (attempt 1/5): binance GET https://fapi.binance.com/fapi/v1/ticker/24hr?symbol=MONUSDT — retrying in 3.0s
2026-04-15 08:26:33 | WARNING  | data.api_client                     | api_client.py:384 | Network error (attempt 1/5): binance GET https://fapi.binance.com/fapi/v1/ticker/24hr?symbol=BTCUSDT — retrying in 3.0s
2026-04-15 08:26:33 | WARNING  | data.api_client                     | api_client.py:384 | Network error (attempt 2/5): binance GET https://fapi.binance.com/fapi/v1/ticker/24hr?symbol=MYXUSDT — retrying in 6.0s
2026-04-15 08:26:34 | WARNING  | data.api_client                     | api_client.py:384 | Network error (attempt 2/5): binance GET https://fapi.binance.com/fapi/v1/ticker/24hr?symbol=RAVEUSDT — retrying in 6.0s
2026-04-15 08:26:34 | WARNING  | data.api_client                     | api_client.py:384 | Network error (attempt 2/5): binance GET https://fapi.binance.com/fapi/v1/ticker/24hr?symbol=AIOTUSDT — retrying in 6.0s
2026-04-15 08:26:34 | WARNING  | data.api_client                     | api_client.py:384 | Network error (attempt 2/5): binance GET https://fapi.binance.com/fapi/v1/ticker/24hr?symbol=LDOUSDT — retrying in 6.0s
2026-04-15 08:26:34 | WARNING  | data.api_client                     | api_client.py:384 | Network error (attempt 2/5): binance GET https://fapi.binance.com/fapi/v1/ticker/24hr?symbol=INTCUSDT — retrying in 6.0s
2026-04-15 08:26:35 | WARNING  | data.api_client                     | api_client.py:384 | Network error (attempt 2/5): binance GET https://fapi.binance.com/fapi/v1/ticker/24hr?symbol=BRUSDT — retrying in 6.0s
2026-04-15 08:26:35 | WARNING  | data.api_client                     | api_client.py:384 | Network error (attempt 2/5): binance GET https://fapi.binance.com/fapi/v1/ticker/24hr?symbol=XPLUSDT — retrying in 6.0s
2026-04-15 08:26:35 | WARNING  | data.api_client                     | api_client.py:384 | Network error (attempt 2/5): binance GET https://fapi.binance.com/fapi/v1/ticker/24hr?symbol=APRUSDT — retrying in 6.0s
2026-04-15 08:26:35 | WARNING  | data.api_client                     | api_client.py:384 | Network error (attempt 2/5): binance GET https://fapi.binance.com/fapi/v1/ticker/24hr?symbol=ONUSDT — retrying in 6.0s
2026-04-15 08:26:36 | WARNING  | data.api_client                     | api_client.py:384 | Network error (attempt 2/5): binance GET https://fapi.binance.com/fapi/v1/ticker/24hr?symbol=OGUSDT — retrying in 6.0s
2026-04-15 08:26:36 | WARNING  | data.api_client                     | api_client.py:384 | Network error (attempt 2/5): binance GET https://fapi.binance.com/fapi/v1/ticker/24hr?symbol=EDGEUSDT — retrying in 6.0s
2026-04-15 08:26:36 | WARNING  | data.api_client                     | api_client.py:384 | Network error (attempt 2/5): binance GET https://fapi.binance.com/fapi/v1/ticker/24hr?symbol=DUSDT — retrying in 6.0s
2026-04-15 08:26:36 | WARNING  | data.api_client                     | api_client.py:384 | Network error (attempt 2/5): binance GET https://fapi.binance.com/fapi/v1/ticker/24hr?symbol=MSTRUSDT — retrying in 6.0s
2026-04-15 08:26:37 | WARNING  | data.api_client                     | api_client.py:384 | Network error (attempt 2/5): binance GET https://fapi.binance.com/fapi/v1/ticker/24hr?symbol=MONUSDT — retrying in 6.0s
2026-04-15 08:26:37 | WARNING  | data.api_client                     | api_client.py:384 | Network error (attempt 2/5): binance GET https://fapi.binance.com/fapi/v1/ticker/24hr?symbol=BTCUSDT — retrying in 6.0s
2026-04-15 08:26:39 | WARNING  | data.api_client                     | api_client.py:384 | Network error (attempt 5/5): binance GET https://fapi.binance.com/fapi/v1/ticker/24hr?symbol=BTCUSDT — retrying in 48.0s
2026-04-15 08:26:39 | WARNING  | data.api_client                     | api_client.py:384 | Network error (attempt 5/5): binance GET https://fapi.binance.com/fapi/v1/ticker/24hr?symbol=ETHUSDT — retrying in 48.0s
2026-04-15 08:26:39 | WARNING  | data.api_client                     | api_client.py:384 | Network error (attempt 5/5): binance GET https://fapi.binance.com/fapi/v1/ticker/24hr?symbol=SOLUSDT — retrying in 48.0s
2026-04-15 08:26:40 | WARNING  | data.api_client                     | api_client.py:384 | Network error (attempt 3/5): binance GET https://fapi.binance.com/fapi/v1/ticker/24hr?symbol=MYXUSDT — retrying in 12.0s
2026-04-15 08:26:40 | WARNING  | data.api_client                     | api_client.py:384 | Network error (attempt 5/5): binance GET https://fapi.binance.com/fapi/v1/ticker/24hr?symbol=BNBUSDT — retrying in 48.0s
2026-04-15 08:26:40 | WARNING  | data.api_client                     | api_client.py:384 | Network error (attempt 3/5): binance GET https://fapi.binance.com/fapi/v1/ticker/24hr?symbol=RAVEUSDT — retrying in 12.0s
2026-04-15 08:26:40 | WARNING  | data.api_client                     | api_client.py:384 | Network error (attempt 5/5): binance GET https://fapi.binance.com/fapi/v1/ticker/24hr?symbol=XRPUSDT — retrying in 48.0s
2026-04-15 08:26:41 | WARNING  | data.api_client                     | api_client.py:384 | Network error (attempt 3/5): binance GET https://fapi.binance.com/fapi/v1/ticker/24hr?symbol=AIOTUSDT — retrying in 12.0s
2026-04-15 08:26:41 | WARNING  | data.api_client                     | api_client.py:384 | Network error (attempt 3/5): binance GET https://fapi.binance.com/fapi/v1/ticker/24hr?symbol=LDOUSDT — retrying in 12.0s
2026-04-15 08:26:41 | WARNING  | data.api_client                     | api_client.py:384 | Network error (attempt 3/5): binance GET https://fapi.binance.com/fapi/v1/ticker/24hr?symbol=INTCUSDT — retrying in 12.0s
2026-04-15 08:26:41 | WARNING  | data.api_client                     | api_client.py:384 | Network error (attempt 5/5): binance GET https://fapi.binance.com/fapi/v1/ticker/24hr?symbol=DOGEUSDT — retrying in 48.0s
2026-04-15 08:26:42 | WARNING  | data.api_client                     | api_client.py:384 | Network error (attempt 5/5): binance GET https://fapi.binance.com/fapi/v1/ticker/24hr?symbol=ADAUSDT — retrying in 48.0s
2026-04-15 08:26:42 | WARNING  | data.api_client                     | api_client.py:384 | Network error (attempt 3/5): binance GET https://fapi.binance.com/fapi/v1/ticker/24hr?symbol=BRUSDT — retrying in 12.0s
2026-04-15 08:26:42 | WARNING  | data.api_client                     | api_client.py:384 | Network error (attempt 5/5): binance GET https://fapi.binance.com/fapi/v1/ticker/24hr?symbol=AVAXUSDT — retrying in 48.0s
2026-04-15 08:26:42 | WARNING  | data.api_client                     | api_client.py:384 | Network error (attempt 3/5): binance GET https://fapi.binance.com/fapi/v1/ticker/24hr?symbol=XPLUSDT — retrying in 12.0s
2026-04-15 08:26:43 | WARNING  | data.api_client                     | api_client.py:384 | Network error (attempt 3/5): binance GET https://fapi.binance.com/fapi/v1/ticker/24hr?symbol=APRUSDT — retrying in 12.0s
2026-04-15 08:26:43 | WARNING  | data.api_client                     | api_client.py:384 | Network error (attempt 5/5): binance GET https://fapi.binance.com/fapi/v1/ticker/24hr?symbol=ARBUSDT — retrying in 48.0s
2026-04-15 08:26:43 | WARNING  | data.api_client                     | api_client.py:384 | Network error (attempt 3/5): binance GET https://fapi.binance.com/fapi/v1/ticker/24hr?symbol=ONUSDT — retrying in 12.0s
2026-04-15 08:26:43 | WARNING  | data.api_client                     | api_client.py:384 | Network error (attempt 3/5): binance GET https://fapi.binance.com/fapi/v1/ticker/24hr?symbol=OGUSDT — retrying in 12.0s
2026-04-15 08:26:44 | WARNING  | data.api_client                     | api_client.py:384 | Network error (attempt 3/5): binance GET https://fapi.binance.com/fapi/v1/ticker/24hr?symbol=EDGEUSDT — retrying in 12.0s
2026-04-15 08:26:44 | WARNING  | data.api_client                     | api_client.py:384 | Network error (attempt 3/5): binance GET https://fapi.binance.com/fapi/v1/ticker/24hr?symbol=DUSDT — retrying in 12.0s
2026-04-15 08:26:44 | WARNING  | data.api_client                     | api_client.py:384 | Network error (attempt 3/5): binance GET https://fapi.binance.com/fapi/v1/ticker/24hr?symbol=MSTRUSDT — retrying in 12.0s
2026-04-15 08:26:44 | WARNING  | data.api_client                     | api_client.py:384 | Network error (attempt 3/5): binance GET https://fapi.binance.com/fapi/v1/ticker/24hr?symbol=MONUSDT — retrying in 12.0s
2026-04-15 08:26:45 | WARNING  | data.api_client                     | api_client.py:384 | Network error (attempt 5/5): binance GET https://fapi.binance.com/fapi/v1/ticker/24hr?symbol=OPUSDT — retrying in 48.0s
2026-04-15 08:26:45 | WARNING  | data.api_client                     | api_client.py:384 | Network error (attempt 5/5): binance GET https://fapi.binance.com/fapi/v1/ticker/24hr?symbol=SUIUSDT — retrying in 48.0s
2026-04-15 08:26:45 | WARNING  | data.api_client                     | api_client.py:384 | Network error (attempt 5/5): binance GET https://fapi.binance.com/fapi/v1/ticker/24hr?symbol=DOTUSDT — retrying in 48.0s
2026-04-15 08:26:51 | WARNING  | data.api_client                     | api_client.py:384 | Network error (attempt 1/5): binance GET https://fapi.binance.com/fapi/v1/ticker/24hr?symbol=BTCUSDT — retrying in 3.0s
2026-04-15 08:26:52 | WARNING  | data.api_client                     | api_client.py:384 | Network error (attempt 4/5): binance GET https://fapi.binance.com/fapi/v1/ticker/24hr?symbol=MYXUSDT — retrying in 24.0s
2026-04-15 08:26:52 | WARNING  | data.api_client                     | api_client.py:384 | Network error (attempt 4/5): binance GET https://fapi.binance.com/fapi/v1/ticker/24hr?symbol=RAVEUSDT — retrying in 24.0s
2026-04-15 08:26:53 | ERROR    | telegram.ext.Updater                | _updater.py:728 | Error while getting Updates: httpx.ConnectError: [Errno 8] nodename nor servname provided, or not known
2026-04-15 08:26:53 | ERROR    | telegram.ext.Updater                | _updater.py:408 | Exception happened while polling for updates.
Traceback (most recent call last):
  File "/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/httpx/_transports/default.py", line 67, in map_httpcore_exceptions
    yield
  File "/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/httpx/_transports/default.py", line 371, in handle_async_request
    resp = await self._pool.handle_async_request(req)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/httpcore/_async/connection_pool.py", line 256, in handle_async_request
    raise exc from None
  File "/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/httpcore/_async/connection_pool.py", line 236, in handle_async_request
    response = await connection.handle_async_request(
               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/httpcore/_async/connection.py", line 101, in handle_async_request
    raise exc
  File "/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/httpcore/_async/connection.py", line 78, in handle_async_request
    stream = await self._connect(request)
             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/httpcore/_async/connection.py", line 124, in _connect
    stream = await self._network_backend.connect_tcp(**kwargs)
             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/httpcore/_backends/auto.py", line 31, in connect_tcp
    return await self._backend.connect_tcp(
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/httpcore/_backends/anyio.py", line 113, in connect_tcp
    with map_exceptions(exc_map):
  File "/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/contextlib.py", line 158, in __exit__
    self.gen.throw(typ, value, traceback)
  File "/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/httpcore/_exceptions.py", line 14, in map_exceptions
    raise to_exc(exc) from exc
httpcore.ConnectError: [Errno 8] nodename nor servname provided, or not known

The above exception was the direct cause of the following exception:

Traceback (most recent call last):
  File "/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/telegram/request/_httpxrequest.py", line 268, in do_request
    res = await self._client.request(
          ^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/httpx/_client.py", line 1559, in request
    return await self.send(request, auth=auth, follow_redirects=follow_redirects)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/httpx/_client.py", line 1646, in send
    response = await self._send_handling_auth(
               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/httpx/_client.py", line 1674, in _send_handling_auth
    response = await self._send_handling_redirects(
               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/httpx/_client.py", line 1711, in _send_handling_redirects
    response = await self._send_single_request(request)
               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/httpx/_client.py", line 1748, in _send_single_request
    response = await transport.handle_async_request(request)
               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/httpx/_transports/default.py", line 370, in handle_async_request
    with map_httpcore_exceptions():
  File "/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/contextlib.py", line 158, in __exit__
